dataset,hidden_size,lr,weight_decay,epochs,batch_size,train_acc,val_acc,test_acc,best_val_loss,best_epoch
// The first 4 lines correspond to the best hyperparameters for each dataset
full,4,0.0006673438249659347,0.0004397834489211582,100,16,0.7346153846153847,0.6756756756756757,0.6933333333333334,0.23146335780620575,26
nadia,4,0.0006673438249659347,0.0004397834489211582,100,16,0.7239263803680982,0.6808510638297872,0.7204301075268817,0.2109662890434265,54
thomas,4,0.0006673438249659347,0.0004397834489211582,100,16,0.7238493723849372,0.7647058823529411,0.6521739130434783,0.18779616057872772,18
boai,4,0.0006673438249659347,0.0004397834489211582,100,16,0.8188679245283019,0.7631578947368421,0.7333333333333333,0.18605686724185944,13
full,4,0.0006673438249659347,0.0004397834489211582,100,16,0.7807692307692308,0.5675675675675675,0.6133333333333333,0.28591832518577576,38
nadia,4,0.0006673438249659347,0.0004397834489211582,100,16,0.7177914110429447,0.6808510638297872,0.7204301075268817,0.22717347741127014,19
thomas,4,0.0006673438249659347,0.0004397834489211582,100,16,0.7573221757322176,0.5882352941176471,0.6231884057971014,0.2915048599243164,63
boai,4,0.0006673438249659347,0.0004397834489211582,100,16,0.8188679245283019,0.7368421052631579,0.7866666666666666,0.17966167628765106,14
full,4,0.0006673438249659347,0.0004397834489211582,100,16,0.7346153846153847,0.6486486486486487,0.5733333333333334,0.22576378285884857,52
nadia,4,0.0006673438249659347,0.0004397834489211582,100,16,0.7638036809815951,0.5957446808510638,0.6236559139784946,0.22262515127658844,31
thomas,4,0.0006673438249659347,0.0004397834489211582,100,16,0.698744769874477,0.7058823529411765,0.6521739130434783,0.20867706835269928,21
boai,4,0.0006673438249659347,0.0004397834489211582,100,16,0.8188679245283019,0.8947368421052632,0.8133333333333334,0.1375306397676468,32
full,4,0.0006673438249659347,0.0004397834489211582,100,16,0.7423076923076923,0.5405405405405406,0.6666666666666666,0.25934478640556335,30
nadia,4,0.0006673438249659347,0.0004397834489211582,100,16,0.745398773006135,0.6170212765957447,0.6666666666666666,0.23958267271518707,100
thomas,4,0.0006673438249659347,0.0004397834489211582,100,16,0.7698744769874477,0.6470588235294118,0.5652173913043478,0.18877239525318146,92
boai,4,0.0006673438249659347,0.0004397834489211582,100,16,0.8037735849056604,0.6842105263157895,0.68,0.19700095057487488,11
full,4,0.0006673438249659347,0.0004397834489211582,100,16,0.7307692307692307,0.5675675675675675,0.64,0.24191449582576752,71
nadia,4,0.0006673438249659347,0.0004397834489211582,100,16,0.7116564417177914,0.7021276595744681,0.6344086021505376,0.2034212052822113,39
thomas,4,0.0006673438249659347,0.0004397834489211582,100,16,0.6276150627615062,0.7941176470588235,0.6811594202898551,0.18804284930229187,16
boai,4,0.0006673438249659347,0.0004397834489211582,100,16,0.8113207547169812,0.6842105263157895,0.76,0.3052005469799042,25
full,4,0.0006673438249659347,0.0004397834489211582,100,16,0.7346153846153847,0.5135135135135135,0.6933333333333334,0.29421064257621765,28
nadia,4,0.0006673438249659347,0.0004397834489211582,100,16,0.6993865030674846,0.7446808510638298,0.6559139784946236,0.19832882285118103,32
thomas,4,0.0006673438249659347,0.0004397834489211582,100,16,0.7405857740585774,0.6470588235294118,0.6521739130434783,0.26110872626304626,97
boai,4,0.0006673438249659347,0.0004397834489211582,100,16,0.8528301886792453,0.6578947368421053,0.7333333333333333,0.3069581091403961,42
full,4,0.0006673438249659347,0.0004397834489211582,100,16,0.75,0.6486486486486487,0.5733333333333334,0.2080402374267578,16
nadia,4,0.0006673438249659347,0.0004397834489211582,100,16,0.7423312883435583,0.6382978723404256,0.7096774193548387,0.21077407896518707,65
thomas,4,0.0006673438249659347,0.0004397834489211582,100,16,0.7196652719665272,0.6470588235294118,0.5797101449275363,0.2545802593231201,18
boai,4,0.0006673438249659347,0.0004397834489211582,100,16,0.7924528301886793,0.7631578947368421,0.8133333333333334,0.20066487789154053,10
full,4,0.0006673438249659347,0.0004397834489211582,100,16,0.7269230769230769,0.7027027027027027,0.6,0.1831568330526352,30
// The average test accuracy for each dataset using boai's hyperparameters are: 0.689247, 0.631884, 0.756000, 0.622667
