                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.41457,                0.51605,                0.26837,                0.90258,                0.99993,                0.99851,                  0.995,                0.97353,                0.99955,                0.99814,                0.99497,                0.93307,                0.28353,                0.30453,                 0.1927,                0.77874,              0.0090298,              0.0090298,              0.0090298
                     52,                0.41404,                0.52212,                0.26868,                0.90412,                0.99958,                0.99851,                  0.995,                0.97362,                0.99921,                0.99814,                0.99493,                0.93593,                0.28385,                0.30655,                0.18851,                0.77707,                0.00901,                0.00901,                0.00901
                     53,                0.41501,                0.52041,                0.26953,                0.90443,                0.99982,                0.99851,                  0.995,                0.97407,                0.99944,                0.99814,                0.99491,                0.93188,                0.27913,                0.30519,                0.18913,                0.77699,              0.0089902,              0.0089902,              0.0089902
                     54,                0.41089,                0.51977,                0.26831,                0.90203,                0.99963,                0.99912,                  0.995,                0.97478,                0.99963,                0.99912,                  0.995,                0.93464,                0.27626,                 0.3001,                0.18827,                 0.7768,              0.0089704,              0.0089704,              0.0089704
                     55,                0.41073,                 0.5036,                0.26531,                0.90337,                      1,                0.99883,                  0.995,                0.97548,                      1,                0.99883,                  0.995,                0.93644,                0.27574,                0.29883,                0.18716,                0.77484,              0.0089506,              0.0089506,              0.0089506
                     56,                0.41219,                0.51986,                0.26628,                0.90591,                0.99991,                0.99851,                  0.995,                 0.9761,                0.99954,                0.99814,                0.99497,                0.93626,                0.27314,                0.30001,                0.18381,                0.77464,              0.0089308,              0.0089308,              0.0089308
                     57,                0.40661,                0.51324,                0.26666,                0.90132,                0.99994,                0.99851,                  0.995,                0.97577,                0.99994,                0.99851,                  0.995,                0.93554,                0.27049,                0.29695,                0.18318,                0.77283,               0.008911,               0.008911,               0.008911
                     58,                 0.4073,                0.51395,                 0.2628,                0.90116,                0.99995,                0.99851,                  0.995,                0.97693,                0.99995,                0.99851,                  0.995,                0.93717,                0.26923,                  0.298,                0.18147,                0.77214,              0.0088912,              0.0088912,              0.0088912
                     59,                0.40711,                0.50906,                0.26354,                0.90231,                0.99957,                0.99851,                0.99491,                0.97675,                0.99882,                0.99776,                0.99483,                 0.9377,                0.27113,                0.29769,                0.18336,                0.77262,              0.0088714,              0.0088714,              0.0088714
                     60,                0.40657,                0.50961,                0.26331,                0.90027,                0.99963,                0.99887,                  0.995,                 0.9776,                  0.999,                0.99776,                 0.9949,                0.93886,                0.26788,                0.29693,                0.17922,                0.77114,              0.0088516,              0.0088516,              0.0088516
                     61,                 0.4042,                0.50281,                0.26173,                0.90063,                      1,                0.99881,                  0.995,                0.97703,                0.99925,                0.99806,                0.99482,                0.93706,                0.26947,                0.29441,                0.17978,                0.77206,              0.0088318,              0.0088318,              0.0088318
                     62,                0.40435,                0.51122,                0.26207,                0.89867,                0.99993,                0.99963,                  0.995,                 0.9778,                0.99918,                0.99888,                 0.9949,                0.93848,                 0.2673,                0.29166,                0.17846,                0.77053,               0.008812,               0.008812,               0.008812
                     63,                0.39791,                 0.4941,                0.25879,                0.89672,                0.99919,                0.99925,                  0.995,                 0.9782,                0.99881,                0.99888,                0.99497,                0.93877,                0.26403,                0.29125,                0.17698,                0.76825,              0.0087922,              0.0087922,              0.0087922
                     64,                 0.4023,                 0.4974,                0.26269,                0.89907,                0.99925,                 0.9996,                  0.995,                0.97808,                0.99888,                0.99922,                0.99496,                0.93977,                0.26213,                0.29004,                0.17655,                0.76673,              0.0087724,              0.0087724,              0.0087724
                     65,                0.39888,                0.49624,                0.25925,                0.89688,                0.99922,                0.99963,                  0.995,                0.97881,                0.99885,                0.99925,                0.99498,                0.94102,                  0.259,                0.28832,                0.17591,                0.76571,              0.0087526,              0.0087526,              0.0087526
                     66,                0.39705,                0.49044,                0.25873,                0.89897,                0.99997,                0.99925,                  0.995,                0.97909,                 0.9996,                0.99888,                0.99499,                0.94041,                0.25839,                0.28702,                0.17496,                0.76629,              0.0087328,              0.0087328,              0.0087328
                     67,                0.39536,                  0.495,                0.25792,                 0.8973,                      1,                 0.9992,                  0.995,                0.98011,                0.99963,                0.99882,                0.99499,                0.94033,                0.25846,                0.28772,                0.17439,                0.76679,               0.008713,               0.008713,               0.008713
                     68,                0.39206,                0.48535,                0.25661,                0.89728,                      1,                0.99957,                  0.995,                0.97885,                0.99963,                 0.9992,                0.99499,                0.94033,                0.25873,                 0.2871,                0.17309,                0.76646,              0.0086932,              0.0086932,              0.0086932
                     69,                0.39572,                0.49554,                0.25758,                 0.8968,                      1,                0.99914,                  0.995,                0.97855,                0.99963,                0.99877,                0.99498,                0.93957,                0.25736,                 0.2861,                0.17262,                0.76598,              0.0086734,              0.0086734,              0.0086734
