                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                 0.4707,                0.20308,                 0.6755,                0.82451,                0.99662,                    0.8,                0.79915,                0.78819,                0.99662,                    0.8,                0.79924,                0.76003,                    nan,                0.24578,                    nan,                    nan,              0.0012674,              0.0012674,              0.0012674
                     40,                0.43396,                0.18324,                0.60743,                0.83027,                0.99678,                    0.8,                0.79664,                0.78267,                0.99678,                    0.8,                0.79664,                0.78949,                    nan,                0.18357,                    nan,                    nan,              0.0012476,              0.0012476,              0.0012476
                     41,                0.46129,                0.21129,                0.64127,                0.86282,                0.99686,                    0.8,                0.79555,                0.79534,                0.99686,                    0.8,                0.79771,                0.78977,                    nan,                0.16195,                    nan,                    nan,              0.0012278,              0.0012278,              0.0012278
                     42,                0.42786,                0.18538,                 0.5999,                0.84802,                0.99684,                    0.8,                0.79544,                0.79532,                0.99684,                    0.8,                0.79644,                0.79599,                    nan,                0.12861,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     43,                0.38266,                0.14248,                0.55707,                0.83036,                0.99688,                    0.8,                0.79543,                 0.7894,                0.99688,                    0.8,                0.79861,                 0.7586,                    nan,                0.13497,                    nan,                    nan,              0.0011882,              0.0011882,              0.0011882
                     44,                0.39756,                0.15505,                0.60253,                0.84183,                0.99687,                    0.8,                0.79529,                0.79529,                0.99687,                    0.8,                0.80045,                0.77755,                    nan,                0.13159,                    nan,                    nan,              0.0011684,              0.0011684,              0.0011684
                     45,                0.34007,                0.13479,                 0.5228,                0.83062,                0.99687,                    0.8,                 0.7953,                 0.7953,                0.99687,                    0.8,                0.90425,                0.82329,                    nan,                0.12147,                    nan,                    nan,              0.0011486,              0.0011486,              0.0011486
                     46,                0.39499,                0.15508,                0.52304,                0.84004,                0.99678,                    0.8,                0.79545,                0.78594,                0.99678,                    0.8,                0.80251,                0.79395,                    nan,                0.11154,                    nan,                    nan,              0.0011288,              0.0011288,              0.0011288
                     47,                0.34833,                0.13303,                0.55266,                0.81559,                0.99675,                    0.8,                 0.7954,                 0.7953,                0.99675,                    0.8,                0.79937,                0.78126,                    nan,                0.11121,                    nan,                    nan,               0.001109,               0.001109,               0.001109
                     48,                0.39291,                0.13438,                0.52419,                0.82164,                0.99682,                    0.8,                0.79539,                0.79531,                0.99682,                    0.8,                0.79929,                0.77867,                    nan,                0.10926,                    nan,                    nan,              0.0010892,              0.0010892,              0.0010892
