                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.27977,                0.18043,                0.26934,                0.82011,                0.61039,                   0.47,                 0.5444,                0.34164,                0.61039,                   0.47,                 0.5444,                0.35149,                    nan,                 0.1391,                    nan,                    nan,              0.0010694,              0.0010694,              0.0010694
                     50,                0.26595,                0.17302,                0.26143,                0.82631,                0.55932,                   0.33,                0.43404,                 0.3855,                0.55932,                   0.33,                0.43404,                0.42946,                    nan,                0.11612,                    nan,                    nan,              0.0010496,              0.0010496,              0.0010496
                     51,                0.26704,                0.16665,                0.26726,                0.80436,                0.44094,                   0.56,                0.48524,                 0.4603,                0.44094,                   0.56,                0.48524,                0.48524,                    nan,                0.11531,                    nan,                    nan,              0.0010298,              0.0010298,              0.0010298
                     52,                0.27519,                0.15793,                0.25771,                0.82315,                 0.9769,                0.42291,                 0.6471,                0.64289,                 0.9769,                0.42291,                 0.6471,                 0.6471,                    nan,                0.09175,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     53,                0.26749,                0.17349,                 0.2595,                0.82583,                   0.25,                   0.88,                 0.6811,                0.61133,                0.24148,                   0.85,                0.67597,                0.59686,                    nan,                0.12075,                    nan,                    nan,              0.0009902,              0.0009902,              0.0009902
                     54,                0.27103,                0.17952,                0.25958,                0.81831,                 0.1831,                   0.39,                0.23688,                0.23688,                 0.1831,                   0.39,                0.23688,                0.23688,                    nan,                 0.1303,                    nan,                    nan,              0.0009704,              0.0009704,              0.0009704
                     55,                0.26217,                0.17511,                0.24436,                0.81262,                      1,                   0.05,                  0.525,                  0.525,                      1,                   0.05,                  0.525,                  0.525,                    nan,                0.10675,                    nan,                    nan,              0.0009506,              0.0009506,              0.0009506
                     56,                0.26138,                0.17304,                0.25054,                0.82483,                      1,                    0.1,                   0.55,                 0.4802,                      1,                    0.1,                   0.55,                   0.55,                    nan,                0.10139,                    nan,                    nan,              0.0009308,              0.0009308,              0.0009308
                     57,                0.26472,                0.16208,                 0.2509,                0.81792,                0.98922,                   0.04,                0.35833,                0.35833,                0.98922,                   0.04,                0.35833,                0.35833,                    nan,                0.08558,                    nan,                    nan,               0.000911,               0.000911,               0.000911
                     58,                0.26796,                0.15777,                0.24933,                0.81136,                0.34146,                   0.14,                0.23706,                0.23356,                0.34146,                   0.14,                0.23706,                0.23706,                    nan,                0.08822,                    nan,                    nan,              0.0008912,              0.0008912,              0.0008912
                     59,                0.25987,                0.16005,                0.25251,                 0.8105,                      1,                   0.07,                  0.535,                  0.535,                      1,                   0.07,                  0.535,                  0.535,                    nan,                 0.1108,                    nan,                    nan,              0.0008714,              0.0008714,              0.0008714
                     60,                0.24188,                0.15448,                 0.2288,                0.81306,                0.98529,                   0.67,                0.83162,                0.82107,                0.98529,                   0.67,                0.83162,                0.83162,                    nan,                 0.1218,                    nan,                    nan,              0.0008516,              0.0008516,              0.0008516
                     61,                0.22709,                0.14708,                0.22055,                0.82113,                0.61111,                   0.66,                0.71702,                0.70636,                0.61111,                   0.66,                0.71702,                0.71425,                    nan,                0.09663,                    nan,                    nan,              0.0008318,              0.0008318,              0.0008318
                     62,                0.23749,                0.14044,                0.23369,                0.81754,                0.88095,                   0.74,                0.85156,                0.83257,                0.88095,                   0.74,                0.85156,                0.85156,                    nan,                 0.1031,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     63,                 0.2388,                 0.1627,                0.23166,                0.80901,                0.83673,                   0.41,                0.64831,                0.64435,                0.83673,                   0.41,                0.64831,                0.64831,                    nan,                0.10534,                    nan,                    nan,              0.0007922,              0.0007922,              0.0007922
                     64,                0.23411,                0.13137,                0.23621,                0.81714,                      1,                0.22432,                0.40729,                0.39962,                      1,                0.22432,                0.40729,                0.39936,                    nan,                 0.1101,                    nan,                    nan,              0.0007724,              0.0007724,              0.0007724
                     65,                0.23751,                0.14321,                0.22984,                0.82176,                      1,                0.36062,                 0.6065,                    0.6,                      1,                0.36062,                 0.6065,                 0.6065,                    nan,                0.09944,                    nan,                    nan,              0.0007526,              0.0007526,              0.0007526
                     66,                0.24328,                0.14238,                0.24067,                0.81317,                      1,                0.45868,                0.80935,                0.78316,                      1,                0.45868,                0.80935,                0.77799,                    nan,                0.08937,                    nan,                    nan,              0.0007328,              0.0007328,              0.0007328
                     67,                0.23876,                0.15143,                0.23868,                0.80124,                0.70238,                   0.59,                0.70994,                0.63146,                0.70238,                   0.59,                0.70994,                 0.6257,                    nan,                0.09239,                    nan,                    nan,               0.000713,               0.000713,               0.000713
                     68,                0.23923,                0.15574,                0.22972,                0.81649,                      1,                0.22865,                0.41842,                  0.376,                      1,                0.22865,                0.41842,                0.36813,                    nan,                0.09288,                    nan,                    nan,              0.0006932,              0.0006932,              0.0006932
                     69,                0.23162,                0.14901,                0.22402,                 0.8147,                0.21324,                   0.29,                0.33217,                0.30746,                0.21324,                   0.29,                0.33217,                0.30746,                    nan,                0.08673,                    nan,                    nan,              0.0006734,              0.0006734,              0.0006734
                     70,                0.21903,                0.14415,                0.21939,                0.81431,                0.23377,                   0.36,                0.39004,                0.34415,                0.23377,                   0.36,                0.39004,                0.33627,                    nan,                 0.0817,                    nan,                    nan,              0.0006536,              0.0006536,              0.0006536
                     71,                0.22805,                0.13723,                0.23158,                0.81373,                0.91667,                   0.44,                0.69255,                0.61036,                0.91667,                   0.44,                0.69255,                0.60921,                    nan,                0.10393,                    nan,                    nan,              0.0006338,              0.0006338,              0.0006338
                     72,                 0.2055,                  0.126,                0.21078,                0.81362,                0.82222,                   0.37,                0.62652,                0.60666,                0.82222,                   0.37,                0.62652,                0.60666,                    nan,                0.07547,                    nan,                    nan,               0.000614,               0.000614,               0.000614
                     73,                0.20694,                0.14624,                0.20966,                0.80698,                   0.64,                   0.32,                0.53462,                0.53462,                   0.64,                   0.32,                0.53462,                0.53225,                    nan,                0.09444,                    nan,                    nan,              0.0005942,              0.0005942,              0.0005942
                     74,                0.20831,                0.13898,                0.20776,                0.81148,                0.97059,                   0.33,                0.65441,                0.65441,                0.97059,                   0.33,                0.65441,                0.65441,                    nan,                0.09043,                    nan,                    nan,              0.0005744,              0.0005744,              0.0005744
                     75,                0.20211,                0.13785,                0.21298,                 0.8074,                 0.6875,                   0.33,                0.55367,                0.55367,                 0.6875,                   0.33,                0.55367,                0.55367,                    nan,                0.08196,                    nan,                    nan,              0.0005546,              0.0005546,              0.0005546
