                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.93762,                 2.4897,                 1.0143,                 1.0194,                      1,                0.54629,                0.89506,                0.54486,                0.63744,                   0.35,                0.54207,                0.18208,                    nan,                 3.0236,                    nan,                    nan,              0.0012872,              0.0012872,              0.0012872
                     39,                0.86719,                  2.511,                0.95596,                0.97095,                0.90456,                    0.7,                0.91885,                0.56222,                0.63509,                    0.5,                0.52034,                0.17195,                    nan,                 3.0704,                    nan,                    nan,              0.0012674,              0.0012674,              0.0012674
                     40,                0.77669,                 2.6536,                0.87152,                0.95057,                0.93321,                0.69866,                0.94924,                0.55059,                0.47901,                    0.4,                0.43659,                0.10448,                    nan,                 3.0667,                    nan,                    nan,              0.0012476,              0.0012476,              0.0012476
                     41,                0.78848,                 1.9514,                 0.9211,                 1.0058,                0.94297,                0.82749,                0.96946,                0.58512,                0.67037,                0.61056,                0.54464,                0.12113,                    nan,                  2.856,                    nan,                    nan,              0.0012278,              0.0012278,              0.0012278
                     42,                0.80562,                 2.3112,                0.90436,                0.97622,                      1,                0.70635,                0.84967,                0.55448,                0.86514,                  0.642,                0.65669,                0.20557,                    nan,                 2.6721,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     43,                0.81409,                 2.6794,                 0.8686,                 0.9556,                0.93741,                   0.75,                0.86465,                 0.5189,                 0.8051,                   0.65,                0.68176,                0.26937,                    nan,                  2.755,                    nan,                    nan,              0.0011882,              0.0011882,              0.0011882
                     44,                0.80721,                 2.2822,                 0.8144,                 0.9768,                      1,                 0.7403,                0.83657,                0.50716,                0.86587,                0.64584,                0.64865,                0.26072,                    nan,                 2.7491,                    nan,                    nan,              0.0011684,              0.0011684,              0.0011684
                     45,                0.73262,                 2.5335,                0.82293,                0.95483,                      1,                0.78903,                0.87353,                0.54805,                0.87445,                0.69668,                0.70491,                0.24464,                    nan,                 2.8537,                    nan,                    nan,              0.0011486,              0.0011486,              0.0011486
                     46,                0.81757,                 2.5759,                 0.7953,                0.95064,                0.96795,                   0.75,                0.88218,                0.55767,                0.77321,                    0.6,                0.63633,                 0.2063,                    nan,                  2.983,                    nan,                    nan,              0.0011288,              0.0011288,              0.0011288
                     47,                0.83183,                 2.2864,                0.86727,                0.98714,                      1,                0.70474,                0.82425,                0.55455,                0.78838,                0.55932,                0.56825,                0.19246,                    nan,                 2.8308,                    nan,                    nan,               0.001109,               0.001109,               0.001109
                     48,                0.88015,                 2.4176,                0.88248,                0.99278,                      1,                0.65731,                0.83871,                0.58743,                0.77341,                0.51267,                0.58217,                0.21925,                    nan,                 2.6768,                    nan,                    nan,              0.0010892,              0.0010892,              0.0010892
                     49,                0.78121,                 2.4158,                0.83163,                0.95701,                      1,                0.42998,                0.83655,                 0.5732,                0.88401,                0.38243,                0.66888,                 0.2531,                    nan,                 2.6089,                    nan,                    nan,              0.0010694,              0.0010694,              0.0010694
                     50,                0.83557,                 2.5396,                0.84405,                 0.9604,                0.71819,                0.51026,                0.64329,                0.42381,                0.65305,                0.47141,                0.49178,                0.17061,                    nan,                  2.713,                    nan,                    nan,              0.0010496,              0.0010496,              0.0010496
                     51,                0.87266,                 2.2319,                0.80433,                 0.9912,                      1,                0.74151,                0.86752,                0.58286,                 0.8638,                0.63497,                 0.6896,                0.21852,                    nan,                 2.8271,                    nan,                    nan,              0.0010298,              0.0010298,              0.0010298
                     52,                0.76136,                 2.0783,                0.80403,                0.95131,                0.94291,                0.82653,                 0.9454,                0.64209,                0.83077,                0.73695,                0.76321,                0.28489,                    nan,                 2.7223,                    nan,                    nan,                0.00101,                0.00101,                0.00101
